id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;luas_panen;satuan;produksi_padi;satuan;produktivitas_padi;satuan;tahun
122;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;FEBRUARI;3220;HEKTAR;18072;TON GABAH KERING GILING;56.12;KUINTAL PER HEKTAR;2018
123;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;MARET;10757;HEKTAR;60229;TON GABAH KERING GILING;55.99;KUINTAL PER HEKTAR;2018
124;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;APRIL;7296;HEKTAR;40767;TON GABAH KERING GILING;55.88;KUINTAL PER HEKTAR;2018
125;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;MEI;3664;HEKTAR;20468;TON GABAH KERING GILING;55.86;KUINTAL PER HEKTAR;2018
126;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;JUNI;3750;HEKTAR;20950;TON GABAH KERING GILING;55.86;KUINTAL PER HEKTAR;2018
127;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;JULI;9547;HEKTAR;53166;TON GABAH KERING GILING;55.69;KUINTAL PER HEKTAR;2018
128;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;AGUSTUS;6174;HEKTAR;34474;TON GABAH KERING GILING;55.84;KUINTAL PER HEKTAR;2018
129;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;SEPTEMBER;3165;HEKTAR;17994;TON GABAH KERING GILING;56.85;KUINTAL PER HEKTAR;2018
130;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;OKTOBER;2780;HEKTAR;15790;TON GABAH KERING GILING;56.79;KUINTAL PER HEKTAR;2018
131;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;NOVEMBER;3756;HEKTAR;21350;TON GABAH KERING GILING;56.84;KUINTAL PER HEKTAR;2018
132;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;DESEMBER;3055;HEKTAR;17364;TON GABAH KERING GILING;56.84;KUINTAL PER HEKTAR;2018
133;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;JANUARI;1474;HEKTAR;9459;TON GABAH KERING GILING;64.17;KUINTAL PER HEKTAR;2018
134;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;FEBRUARI;9225;HEKTAR;59026;TON GABAH KERING GILING;63.99;KUINTAL PER HEKTAR;2018
135;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;MARET;34576;HEKTAR;221473;TON GABAH KERING GILING;64.05;KUINTAL PER HEKTAR;2018
136;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;APRIL;51441;HEKTAR;330083;TON GABAH KERING GILING;64.17;KUINTAL PER HEKTAR;2018
137;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;MEI;20614;HEKTAR;114508;TON GABAH KERING GILING;55.55;KUINTAL PER HEKTAR;2018
138;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;JUNI;16768;HEKTAR;90327;TON GABAH KERING GILING;53.87;KUINTAL PER HEKTAR;2018
139;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;JULI;18107;HEKTAR;99713;TON GABAH KERING GILING;55.07;KUINTAL PER HEKTAR;2018
140;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;AGUSTUS;27761;HEKTAR;154208;TON GABAH KERING GILING;55.55;KUINTAL PER HEKTAR;2018
141;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;SEPTEMBER;37062;HEKTAR;214137;TON GABAH KERING GILING;57.78;KUINTAL PER HEKTAR;2018
142;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;OKTOBER;8363;HEKTAR;48321;TON GABAH KERING GILING;57.78;KUINTAL PER HEKTAR;2018
143;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;NOVEMBER;11095;HEKTAR;64107;TON GABAH KERING GILING;57.78;KUINTAL PER HEKTAR;2018
144;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;DESEMBER;1622;HEKTAR;9370;TON GABAH KERING GILING;57.78;KUINTAL PER HEKTAR;2018
145;32;JAWA BARAT;3213;KABUPATEN SUBANG;JANUARI;3132;HEKTAR;17477;TON GABAH KERING GILING;55.8;KUINTAL PER HEKTAR;2018
146;32;JAWA BARAT;3213;KABUPATEN SUBANG;FEBRUARI;10331;HEKTAR;57643;TON GABAH KERING GILING;55.8;KUINTAL PER HEKTAR;2018
147;32;JAWA BARAT;3213;KABUPATEN SUBANG;MARET;24813;HEKTAR;138441;TON GABAH KERING GILING;55.8;KUINTAL PER HEKTAR;2018
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;APRIL;25518;HEKTAR;142378;TON GABAH KERING GILING;55.8;KUINTAL PER HEKTAR;2018
149;32;JAWA BARAT;3213;KABUPATEN SUBANG;MEI;18456;HEKTAR;106443;TON GABAH KERING GILING;57.67;KUINTAL PER HEKTAR;2018
150;32;JAWA BARAT;3213;KABUPATEN SUBANG;JUNI;9888;HEKTAR;57024;TON GABAH KERING GILING;57.67;KUINTAL PER HEKTAR;2018
151;32;JAWA BARAT;3213;KABUPATEN SUBANG;JULI;10913;HEKTAR;62941;TON GABAH KERING GILING;57.67;KUINTAL PER HEKTAR;2018
152;32;JAWA BARAT;3213;KABUPATEN SUBANG;AGUSTUS;14969;HEKTAR;86332;TON GABAH KERING GILING;57.67;KUINTAL PER HEKTAR;2018
153;32;JAWA BARAT;3213;KABUPATEN SUBANG;SEPTEMBER;14081;HEKTAR;81520;TON GABAH KERING GILING;57.89;KUINTAL PER HEKTAR;2018
154;32;JAWA BARAT;3213;KABUPATEN SUBANG;OKTOBER;20181;HEKTAR;116840;TON GABAH KERING GILING;57.89;KUINTAL PER HEKTAR;2018
155;32;JAWA BARAT;3213;KABUPATEN SUBANG;NOVEMBER;12829;HEKTAR;74273;TON GABAH KERING GILING;57.89;KUINTAL PER HEKTAR;2018
156;32;JAWA BARAT;3213;KABUPATEN SUBANG;DESEMBER;8581;HEKTAR;49682;TON GABAH KERING GILING;57.89;KUINTAL PER HEKTAR;2018
157;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;JANUARI;897;HEKTAR;4697;TON GABAH KERING GILING;52.38;KUINTAL PER HEKTAR;2018
158;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;FEBRUARI;1737;HEKTAR;9099;TON GABAH KERING GILING;52.38;KUINTAL PER HEKTAR;2018
159;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;MARET;6367;HEKTAR;33338;TON GABAH KERING GILING;52.36;KUINTAL PER HEKTAR;2018
160;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;APRIL;4744;HEKTAR;24843;TON GABAH KERING GILING;52.37;KUINTAL PER HEKTAR;2018
161;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;MEI;1364;HEKTAR;7665;TON GABAH KERING GILING;56.2;KUINTAL PER HEKTAR;2018
